item_id,source_id,source_title,source_subject,source_file,solution_file,source_section_code,source_unit,source_question_no,source_page,source_solution_page,engine_subject,engine_unit_id,engine_unit_name,engine_subunit_id,engine_subunit_name,matched_problem_type_id,concept_ids,type_name,variant_id,variant_tags,skill_tags,error_tags,prerequisite_concepts,difficulty,mapping_status,duplicate_of,near_duplicate_group,diagnosis_weight,copyright_note,review_note
drill_su1_exp_log_function_001,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,드릴 수학1 지수함수와 로그함수(해설).pdf,Chapter 1,지수함수와 로그함수,001,2,3,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_CONDITION,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,"[""ALG_EXPLOG_FUNCTION_CONDITION""]",지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,"[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""밑과 진수 조건 누락"", ""조건식에서 변수 범위 해석 오류"", ""식 변형 후 검산 누락""]","[""지수법칙"", ""로그의 뜻"", ""함수의 그래프""]",high,matched,,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE::condition_parameter,0.9,problem_text_not_stored; metadata_only,
drill_su1_exp_log_function_002,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,드릴 수학1 지수함수와 로그함수(해설).pdf,Chapter 1,지수함수와 로그함수,002,4,5,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_CONDITION,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,"[""ALG_EXPLOG_FUNCTION_CONDITION""]",지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,"[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""밑과 진수 조건 누락"", ""조건식에서 변수 범위 해석 오류"", ""식 변형 후 검산 누락""]","[""지수법칙"", ""로그의 뜻"", ""함수의 그래프""]",high,matched,,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE::condition_parameter,0.9,problem_text_not_stored; metadata_only,
drill_su1_exp_log_function_003,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,드릴 수학1 지수함수와 로그함수(해설).pdf,Chapter 1,지수함수와 로그함수,003,6,7,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_CONDITION,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,"[""ALG_EXPLOG_FUNCTION_CONDITION""]",지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,"[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""밑과 진수 조건 누락"", ""조건식에서 변수 범위 해석 오류"", ""식 변형 후 검산 누락""]","[""지수법칙"", ""로그의 뜻"", ""함수의 그래프""]",high,matched,,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE::condition_parameter,0.9,problem_text_not_stored; metadata_only,
drill_su1_exp_log_function_004,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,드릴 수학1 지수함수와 로그함수(해설).pdf,Chapter 1,지수함수와 로그함수,004,8,9,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_CONDITION,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,"[""ALG_EXPLOG_FUNCTION_CONDITION""]",지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,"[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""밑과 진수 조건 누락"", ""조건식에서 변수 범위 해석 오류"", ""식 변형 후 검산 누락""]","[""지수법칙"", ""로그의 뜻"", ""함수의 그래프""]",high,matched,,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE::condition_parameter,0.9,problem_text_not_stored; metadata_only,
drill_su1_exp_log_function_005,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,드릴 수학1 지수함수와 로그함수(해설).pdf,Chapter 1,지수함수와 로그함수,005,10,11,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_CONDITION,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,"[""ALG_EXPLOG_FUNCTION_CONDITION""]",지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,"[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""밑과 진수 조건 누락"", ""조건식에서 변수 범위 해석 오류"", ""식 변형 후 검산 누락""]","[""지수법칙"", ""로그의 뜻"", ""함수의 그래프""]",high,matched,,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE::condition_parameter,0.9,problem_text_not_stored; metadata_only,
drill_su1_exp_log_function_006,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,드릴 수학1 지수함수와 로그함수(해설).pdf,Chapter 1,지수함수와 로그함수,006,12,13,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_CONDITION,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,"[""ALG_EXPLOG_FUNCTION_CONDITION""]",지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,"[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""밑과 진수 조건 누락"", ""조건식에서 변수 범위 해석 오류"", ""식 변형 후 검산 누락""]","[""지수법칙"", ""로그의 뜻"", ""함수의 그래프""]",high,matched,,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE::condition_parameter,0.9,problem_text_not_stored; metadata_only,
drill_su1_exp_log_function_007,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,드릴 수학1 지수함수와 로그함수(해설).pdf,Chapter 1,지수함수와 로그함수,007,14,15,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_CONDITION,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,"[""ALG_EXPLOG_FUNCTION_CONDITION""]",지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,"[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""밑과 진수 조건 누락"", ""조건식에서 변수 범위 해석 오류"", ""식 변형 후 검산 누락""]","[""지수법칙"", ""로그의 뜻"", ""함수의 그래프""]",high,matched,,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE::condition_parameter,0.9,problem_text_not_stored; metadata_only,
drill_su1_exp_log_function_008,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,드릴 수학1 지수함수와 로그함수(해설).pdf,Chapter 1,지수함수와 로그함수,008,16,17,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_CONDITION,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,"[""ALG_EXPLOG_FUNCTION_CONDITION""]",지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,"[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""condition_analysis"", ""parameter"", ""domain_range_check""]","[""밑과 진수 조건 누락"", ""조건식에서 변수 범위 해석 오류"", ""식 변형 후 검산 누락""]","[""지수법칙"", ""로그의 뜻"", ""함수의 그래프""]",high,matched,,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE::condition_parameter,0.9,problem_text_not_stored; metadata_only,
drill_su1_exp_log_function_009,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,드릴 수학1 지수함수와 로그함수(해설).pdf,Chapter 1,지수함수와 로그함수,009,18,19,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수·로그함수 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION,"[""ALG_EXPLOG_FUNCTION_GRAPH""]",지수함수·로그함수 그래프 변환과 교점,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION_GRAPH_TRANSFORMATION_INTERSECTION,"[""graph_transformation"", ""intersection"", ""monotonicity""]","[""graph_transformation"", ""intersection"", ""monotonicity""]","[""그래프 평행이동 해석 오류"", ""증가·감소 조건 혼동"", ""교점 조건을 식으로 세우는 과정 오류""]","[""함수 그래프"", ""평행이동"", ""방정식과 부등식""]",high,matched,,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION::graph_transformation_intersection,0.9,problem_text_not_stored; metadata_only,
drill_su1_exp_log_function_010,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,드릴 수학1 지수함수와 로그함수(해설).pdf,Chapter 1,지수함수와 로그함수,010,20,21,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수·로그함수 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION,"[""ALG_EXPLOG_FUNCTION_GRAPH""]",지수함수·로그함수 그래프 변환과 교점,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION_GRAPH_TRANSFORMATION_INTERSECTION,"[""graph_transformation"", ""intersection"", ""monotonicity""]","[""graph_transformation"", ""intersection"", ""monotonicity""]","[""그래프 평행이동 해석 오류"", ""증가·감소 조건 혼동"", ""교점 조건을 식으로 세우는 과정 오류""]","[""함수 그래프"", ""평행이동"", ""방정식과 부등식""]",high,matched,,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION::graph_transformation_intersection,0.9,problem_text_not_stored; metadata_only,
drill_su1_exp_log_function_011,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,드릴 수학1 지수함수와 로그함수(해설).pdf,Chapter 1,지수함수와 로그함수,011,22,23,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수·로그함수 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION,"[""ALG_EXPLOG_FUNCTION_GRAPH""]",지수함수·로그함수 그래프 변환과 교점,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION_GRAPH_TRANSFORMATION_INTERSECTION,"[""graph_transformation"", ""intersection"", ""monotonicity""]","[""graph_transformation"", ""intersection"", ""monotonicity""]","[""그래프 평행이동 해석 오류"", ""증가·감소 조건 혼동"", ""교점 조건을 식으로 세우는 과정 오류""]","[""함수 그래프"", ""평행이동"", ""방정식과 부등식""]",high,matched,,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION::graph_transformation_intersection,0.9,problem_text_not_stored; metadata_only,
drill_su1_exp_log_function_012,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,드릴 수학1 지수함수와 로그함수(해설).pdf,Chapter 1,지수함수와 로그함수,012,24,25,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수·로그함수 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION,"[""ALG_EXPLOG_FUNCTION_GRAPH""]",지수함수·로그함수 그래프 변환과 교점,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION_GRAPH_TRANSFORMATION_INTERSECTION,"[""graph_transformation"", ""intersection"", ""monotonicity""]","[""graph_transformation"", ""intersection"", ""monotonicity""]","[""그래프 평행이동 해석 오류"", ""증가·감소 조건 혼동"", ""교점 조건을 식으로 세우는 과정 오류""]","[""함수 그래프"", ""평행이동"", ""방정식과 부등식""]",high,matched,,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION::graph_transformation_intersection,0.9,problem_text_not_stored; metadata_only,
